2019-01-07 15:31:51,777 |  Habitos - CRM Info |ERROR | Verify that user can able to select meal type
2019-01-07 15:31:51,785 |  Habitos - CRM Info |ERROR | Verify that user can able to select Student type
2019-01-07 15:31:51,789 |  Habitos - CRM Info |ERROR | Verify that user can able to select spread type
2019-01-07 15:31:51,792 |  Habitos - CRM Info |ERROR | Verify that user can able to enter the total count
2019-01-07 15:31:51,797 |  Habitos - CRM Info |INFO | Verify that user can able to select the consume time
2019-01-07 15:31:51,804 |  Habitos - CRM Info |INFO | Verify that user can able to select the dispatch time
2019-01-07 15:31:51,808 |  Habitos - CRM Info |INFO | Verify that user can able to select the delivery time
2019-01-07 15:31:51,811 |  Habitos - CRM Info |ERROR | Verify that user can able to select order  type
2019-01-07 15:31:52,336 |  Habitos - CRM Info |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2019-01-07 15:31:52,593 |  Habitos - View Control |ERROR | if click add button it should redirect to add screen
2019-01-07 15:31:52,593 |  Habitos - View Control |ERROR | if click sumit button the values gets saved and dispalying to index screen
2019-01-07 15:41:34,743 |  BramHope Website Portal |INFO | browser gets open
2019-01-07 15:41:37,303 |  BramHope Website Portal |INFO | browser gets valid ip address
2019-01-07 15:41:41,878 |  Habitos - CRM Info |ERROR | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:41:42,083 |  Habitos - CRM Info |ERROR | Verify that if click add new button it should redirect to add new screen
2019-01-07 15:41:42,092 |  Habitos - CRM Info |ERROR | Verify that user can able to select the meal time
2019-01-07 15:41:42,097 |  Habitos - CRM Info |ERROR | Verify that user can able to select meal type
2019-01-07 15:41:42,101 |  Habitos - CRM Info |ERROR | Verify that user can able to select Student type
2019-01-07 15:41:42,106 |  Habitos - CRM Info |ERROR | Verify that user can able to select spread type
2019-01-07 15:41:42,113 |  Habitos - CRM Info |ERROR | Verify that user can able to enter the total count
2019-01-07 15:41:42,119 |  Habitos - CRM Info |INFO | Verify that user can able to select the consume time
2019-01-07 15:41:42,126 |  Habitos - CRM Info |INFO | Verify that user can able to select the dispatch time
2019-01-07 15:41:42,135 |  Habitos - CRM Info |INFO | Verify that user can able to select the delivery time
2019-01-07 15:41:42,142 |  Habitos - CRM Info |ERROR | Verify that user can able to select order  type
2019-01-07 15:41:42,652 |  Habitos - CRM Info |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2019-01-07 15:41:42,877 |  Habitos - View Control |ERROR | if click add button it should redirect to add screen
2019-01-07 15:41:42,877 |  Habitos - View Control |ERROR | if click sumit button the values gets saved and dispalying to index screen
